Year,Month,TempAnomaly,DengueCases,MalariaIncidence,Humidity,Precipitation
2000,1,0.832,650.0,19.95669598,56.25,10.38
2000,2,-0.67,650.0,19.95669598,53.00666667,17.44
2000,3,-0.412,650.0,19.95669598,49.76333333,12.11
2000,4,1.127,650.0,19.95669598,46.52,33.27
2000,5,0.04,650.0,19.95669598,55.13333333,72.38
2000,6,-0.708,650.0,19.95669598,63.74666667,165.45
2000,7,-0.003,650.0,19.95669598,72.36,289.76
2000,8,0.552,650.0,19.95669598,70.58666667,239.27
2000,9,0.313,650.0,19.95669598,68.81333333,138.48
2000,10,1.094,650.0,19.95669598,67.04,54.04
2000,11,1.16,650.0,19.95669598,63.72666667,15.82
2000,12,0.547,650.0,19.95669598,60.41333333,9.29
2001,1,0.278,3306.0,19.89829156,57.1,9.26
2001,2,1.087,3306.0,19.89829156,53.60666667,5.97
2001,3,0.379,3306.0,19.89829156,50.11333333,14.59
2001,4,-0.176,3306.0,19.89829156,46.62,33.84
2001,5,0.381,3306.0,19.89829156,55.29,70.65
2001,6,-1.146,3306.0,19.89829156,63.96,186.96
2001,7,0.011,3306.0,19.89829156,72.63,267.04
2001,8,0.524,3306.0,19.89829156,70.53,223.41
2001,9,1.017,3306.0,19.89829156,68.43,109.33
2001,10,0.739,3306.0,19.89829156,66.33,89.93
2001,11,1.158,3306.0,19.89829156,62.80666667,19.63
2001,12,0.913,3306.0,19.89829156,59.28333333,7.27
2002,1,0.485,1926.0,18.46453365,55.76,12.28
2002,2,0.571,1926.0,18.46453365,52.54333333,12.31
2002,3,0.803,1926.0,18.46453365,49.32666667,12.66
2002,4,0.906,1926.0,18.46453365,46.11,28.29
2002,5,0.911,1926.0,18.46453365,55.12666667,50.31
2002,6,0.158,1926.0,18.46453365,64.14333333,150.44
2002,7,1.589,1926.0,18.46453365,73.16,172.14
2002,8,0.416,1926.0,18.46453365,71.44333333,254.4
2002,9,0.354,1926.0,18.46453365,69.72666667,133.7
2002,10,0.785,1926.0,18.46453365,68.01,70.7
2002,11,0.836,1926.0,18.46453365,65.00333333,24.65
2002,12,1.429,1926.0,18.46453365,61.99666667,7.33
2003,1,0.285,12754.0,19.35780028,58.99,8.97
2003,2,0.912,12754.0,19.35780028,54.91,23.63
2003,3,0.138,12754.0,19.35780028,50.83,17.21
2003,4,0.888,12754.0,19.35780028,46.75,27.54
2003,5,0.633,12754.0,19.35780028,55.56,30.38
2003,6,0.825,12754.0,19.35780028,64.37,144.87
2003,7,0.266,12754.0,19.35780028,73.18,304.78
2003,8,0.481,12754.0,19.35780028,71.43666667,221.49
2003,9,0.162,12754.0,19.35780028,69.69333333,162.87
2003,10,0.205,12754.0,19.35780028,67.95,93.52
2003,11,0.817,12754.0,19.35780028,64.57666667,16.74
2003,12,0.523,12754.0,19.35780028,61.20333333,9.99
2004,1,0.267,4153.0,21.22160403,57.83,15.1
2004,2,0.49,4153.0,21.22160403,54.27,5.87
2004,3,1.965,4153.0,21.22160403,50.71,9.66
2004,4,0.918,4153.0,21.22160403,47.15,33.79
2004,5,0.017,4153.0,21.22160403,55.86666667,58.72
2004,6,-0.424,4153.0,21.22160403,64.58333333,150.75
2004,7,0.598,4153.0,21.22160403,73.3,233.81
2004,8,0.331,4153.0,21.22160403,71.12666667,261.82
2004,9,0.734,4153.0,21.22160403,68.95333333,140.54
2004,10,-0.389,4153.0,21.22160403,66.78,103.55
2004,11,0.689,4153.0,21.22160403,63.52,18.41
2004,12,0.997,4153.0,21.22160403,60.26,6.23
2005,1,0.486,11985.0,22.48059003,57.0,15.8
